year,month,Kanton,Herkunftsland,Indikator,value
2005,12,24,00,2,10791.0
2005,12,25,00,2,157433.0
2005,12,26,00,2,3113.0
2006,1,1,00,2,251512.0
2006,1,2,00,2,402151.0
2006,1,3,00,2,75650.0
2006,1,4,00,2,13867.0
2006,1,5,00,2,35674.0
2006,1,6,00,2,49689.0
2006,1,7,00,2,12593.0
2006,1,8,00,2,14732.0
2006,1,9,00,2,16046.0
2006,1,10,00,2,16305.0
2006,1,11,00,2,17798.0
2006,1,12,00,2,61211.0
2006,1,13,00,2,12290.0
2006,1,14,00,2,5877.0
2006,1,15,00,2,7388.0
2006,1,16,00,2,7162.0
2006,1,17,00,2,81691.0
2006,1,18,00,2,753602.0
2006,1,19,00,2,41442.0
2006,1,20,00,2,19250.0
2006,1,21,00,2,51987.0
2006,1,22,00,2,168501.0
2006,1,23,00,2,466157.0
2006,1,24,00,2,11488.0
2006,1,25,00,2,160955.0
2006,1,26,00,2,3481.0
2006,2,1,00,2,242066.0
2006,2,2,00,2,472098.0
2006,2,3,00,2,74253.0
2006,2,4,00,2,17925.0
2006,2,5,00,2,44752.0
2006,2,6,00,2,61358.0
2006,2,7,00,2,15338.0
2006,2,8,00,2,16622.0
2006,2,9,00,2,15310.0
2006,2,10,00,2,20030.0
2006,2,11,00,2,17600.0
2006,2,12,00,2,61492.0
2006,2,13,00,2,14429.0
2006,2,14,00,2,5467.0
2006,2,15,00,2,8178.0
2006,2,16,00,2,5044.0
2006,2,17,00,2,91250.0
2006,2,18,00,2,824486.0
2006,2,19,00,2,43307.0
2006,2,20,00,2,20850.0
2006,2,21,00,2,63707.0
2006,2,22,00,2,206085.0
2006,2,23,00,2,566436.0
2006,2,24,00,2,13660.0
2006,2,25,00,2,196118.0
2006,2,26,00,2,3903.0
2006,3,1,00,2,300082.0
2006,3,2,00,2,412136.0
2006,3,3,00,2,93279.0
2006,3,4,00,2,17288.0
2006,3,5,00,2,41083.0
2006,3,6,00,2,58962.0
2006,3,7,00,2,14421.0
2006,3,8,00,2,12664.0
2006,3,9,00,2,18832.0
2006,3,10,00,2,24007.0
2006,3,11,00,2,23804.0
2006,3,12,00,2,82964.0
2006,3,13,00,2,20168.0
2006,3,14,00,2,6883.0
2006,3,15,00,2,9463.0
